publishedAt,authorDisplayName,textDisplay,likeCount
2025-09-18T13:55:54Z,@jatospelangi4701,"Magang dikementrian itu hanya menghabiskan anggaran saja,, menkeu itu cepat hapus PPN,, lalu turunkan kurs dollar kalau bisa dibawah 10.000/ dollar,, bisa tdk,jgn pencitraan mulu, tdk mampu melakukannya, cari jalan pencitraan.",0
2025-09-18T13:44:08Z,@wijanarkoerwin3859,Upah pegawai mestinya sama semua jangan ada perbedaan karena harga BBM pun harganya nasional,0
2025-09-18T13:33:26Z,@NanangHermawan-u6h,Usia 35 keatas donk karna Uda sulit cari pekerjaan,0
2025-09-18T13:32:26Z,@Arianto-q9u,"Ah magang itu cuman mau habiskan biaya atau buat proyek kementerian saja, biar bisa korupsi. Apa gunanya magang-magang kalau lapang pekerjaannya aja tidak jelas, ujung yang ikut magangpun nanti suruh cari kerja sendiri.",0
2025-09-18T13:31:20Z,@sriyuliati2698,"Iya pak    anak2 butuh  pekerjaan , anak dewasa yg  ddh punya keluarga..ngalamar kesana kemari  alasan usia  lbih....tolong perhatikan ank2 dewasa dll",1
2025-09-18T13:20:46Z,@TitinSupriatin-l2x,Alhsmdukilah ads kedrmoatsnbuat anak dy srmiga lancar lukussn S1d kemana harus daotarnya pa,0
2025-09-18T12:45:19Z,@Humanareselfish,Buang waktu.. kelar di situ cari kerja lagi udah g di terima umur nya 😂,0
2025-09-18T12:23:17Z,@ZerryUuy,klu Indonesia harus ad syaratnya. mkny banyak yg  kemiskinan,0
2025-09-18T12:14:15Z,@BangSat-l2y,"Yg baru lulus itu ga punya anak bini kok malah di utamakan<br><br>Pemerintah bobrok, udah ngliat tapi buta udah dengar tapi tuli",0
2025-09-18T11:47:33Z,@sarahnuri-n7k,Jangan cuma magang pak tapi berkelanjutan...,0
2025-09-18T11:41:12Z,@MuhamadArief-q4v,Lulusan S1 dan D3 di suruh magang sedangkan yg SMA belum jelas kelulusannya di suruh jadi wakil....bener bener Konoha mah yaa,0
2025-09-18T11:31:47Z,@Sumariati-o8d,"Kita hrs tetap byr pajak Krn skrg menteri keungannya membutuhkan rakyat buat spy Indonesia stabil cuma mohon SM pemerintah pajak yg kira,, gk msk akal di hapus kasihan rakyat kecil",0
